chapter	pdf_pages	section	source_kind	material_type	german	canonical_german	editorial_decision	editorial_note	editorial_references	decision	existing_deck_ids	existing_source_texts	proposed_target_deck_id	review_flags	source_note
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Hallo	Hallo	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Moin	Moin	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Guten Morgen	Guten Morgen	KEEP_EXISTING	Bentuk Jerman dan kategori telah tersedia; bandingkan arti Indonesia saat implementasi, jangan menambah kartu baru.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Guten Morgen!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Guten Tag	Guten Tag	KEEP_EXISTING	Bentuk Jerman dan kategori telah tersedia; bandingkan arti Indonesia saat implementasi, jangan menambah kartu baru.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Guten Tag!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Guten Abend	Guten Abend	KEEP_EXISTING	Bentuk Jerman dan kategori telah tersedia; bandingkan arti Indonesia saat implementasi, jangan menambah kartu baru.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Guten Abend!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Gute Nacht	Gute Nacht	KEEP_EXISTING	Bentuk Jerman dan kategori telah tersedia; bandingkan arti Indonesia saat implementasi, jangan menambah kartu baru.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Gute Nacht!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Tschüss	Tschüss	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	word	Ciao	Ciao	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Duden/DWDS	ADD_TO_NEW_DECK			de-id-a1-kata-identitaet-familie		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Auf Wiedersehen	Auf Wiedersehen	KEEP_EXISTING	Bentuk Jerman dan kategori telah tersedia; bandingkan arti Indonesia saat implementasi, jangan menambah kartu baru.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	EXACT_SOURCE_MATCH	de-id-a1-frasa-sehari-hari	Auf Wiedersehen!	de-id-a1-frasa-perkenalan-identitaet		
1	17	Begrüßung und Verabschiedung	Lernwortschatz	phrase	Auf Wiederhören	Auf Wiederhören	VERIFY_BEFORE_ADD		Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Name	der Name	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Vorname	der Vorname	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Nachname / der Familienname	der Nachname / der Familienname	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Adresse	die Adresse	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Telefonnummer / die Handynummer	die Telefonnummer / die Handynummer	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die E-Mail-Adresse	die E-Mail-Adresse	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	das Geburtsdatum	das Geburtsdatum	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	der Wohnort	der Wohnort	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Herkunft / das Herkunftsland	die Herkunft / das Herkunftsland	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Sprache	die Sprache	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Persönliche Angaben	Lernwortschatz	phrase	die Nationalität	die Nationalität	RECLASSIFY_AS_WORD	Nomina berartikel salah terklasifikasi sebagai frasa akibat heuristik inventaris; perlakukan sebagai kata dan tambahkan jamak jika relevan.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_NEW_DECK			de-id-a1-frasa-perkenalan-identitaet		
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wie?	Wie?	NOT_STANDALONE_CARD	Kata tanya tanpa konteks tidak layak menjadi kartu kalimat; dapat dipertahankan sebagai kosakata bila deck kata membutuhkannya.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wer?	Wer?	NOT_STANDALONE_CARD	Kata tanya tanpa konteks tidak layak menjadi kartu kalimat; dapat dipertahankan sebagai kosakata bila deck kata membutuhkannya.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
1	17	Fragewörter und Fragen	Lernwortschatz	sentence	Wo?	Wo?	NOT_STANDALONE_CARD	Kata tanya tanpa konteks tidak layak menjadi kartu kalimat; dapat dipertahankan sebagai kosakata bila deck kata membutuhkannya.	Goethe A1 Wortliste; Deutsche Welle Nicos Weg A1	ADD_TO_EXISTING_DECK			de-id-a1-kalimat-nyata	PATTERN_OR_PLACEHOLDER	
